class,age,sex,survived
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,adults,women,no
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,yes
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,man,no
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,yes
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
3rd class,child,women,no
